Subject	Years	Strand	Substrand	CDCode	Content description	Elaboration
Digital technologies	Years 7 and 8	Processes and production skills	Producing and implementing	AC9TDI8P09	implement, modify and debug programs involving control structures and functions in a general purpose programming language	writing a program that contains nested control structures to perform more complicated branching and decisions, for example using an IF statement inside a loop to count the warm days from an array containing temperature data only when the temperature for each day is more than 20 degrees Celsius
Digital technologies	Years 7 and 8	Processes and production skills	Producing and implementing	AC9TDI8P09	implement, modify and debug programs involving control structures and functions in a general purpose programming language	defining and using a function that produces different output based on the argument(s) it receives, for example a function that receives the name of an actor from user input, and searches a file or database to return a list of movies that actor appears in
Digital technologies	Years 7 and 8	Processes and production skills	Evaluating	AC9TDI8P10	evaluate existing and student solutions against the design criteria, user stories and possible future impact	evaluating how an existing solution ensures users can control their safety and experience online as described in the Safety by Design Vision for Young People, for example ensuring privacy settings are comprehensive, easy to use and set to maximum protection by default
Digital technologies	Years 7 and 8	Processes and production skills	Evaluating	AC9TDI8P10	evaluate existing and student solutions against the design criteria, user stories and possible future impact	reviewing the requirements of a user story to ensure that their solution meets the user’s needs, for example making sure that recommendations offered by their music application are of a similar genre to the rest of the user’s library
Digital technologies	Years 7 and 8	Processes and production skills	Evaluating	AC9TDI8P10	evaluate existing and student solutions against the design criteria, user stories and possible future impact	judging existing solutions on the basis of their possible impact on the economy, environment or society, for example cloud computing services decrease data loss but require vast amounts of electricity to power the servers
Digital technologies	Years 7 and 8	Processes and production skills	Collaborating and managing	AC9TDI8P11	select and use a range of digital tools efficiently, including unfamiliar features, to create, locate and communicate content, consistently applying common conventions	locating relevant content from multiple sources, exploring advanced search functions and targeted criteria, for example using specific filters such as date range, image size, file type and usage licence
Digital technologies	Years 7 and 8	Processes and production skills	Collaborating and managing	AC9TDI8P11	select and use a range of digital tools efficiently, including unfamiliar features, to create, locate and communicate content, consistently applying common conventions	selecting and using appropriate digital tools, for example when participating in online lessons or planning sessions using a common video conferencing tool
Digital technologies	Years 7 and 8	Processes and production skills	Collaborating and managing	AC9TDI8P11	select and use a range of digital tools efficiently, including unfamiliar features, to create, locate and communicate content, consistently applying common conventions	applying common conventions consistently when creating content, for example organising content in paragraphs and within a heading hierarchy, writing captions to describe images and using gender-inclusive pronouns, where appropriate
Digital technologies	Years 7 and 8	Processes and production skills	Collaborating and managing	AC9TDI8P11	select and use a range of digital tools efficiently, including unfamiliar features, to create, locate and communicate content, consistently applying common conventions	creating logical storage locations for project assets and resources together with an outline to ensure collaborators are up to date, for example creating a logical storage area for a group to share content and ideas in a timely manner about the canteen issue they are solving
Digital technologies	Years 7 and 8	Processes and production skills	Collaborating and managing	AC9TDI8P12	select and use a range of digital tools efficiently and responsibly to share content online, and plan and manage individual and collaborative agile projects	collaborating effectively online using cloud storage, for example setting up and managing a shared space in an online repository to co-develop content for an app which presents and checks safety aspects of working in a specific setting such as a kitchen, lab, workshop or greenhouse
Digital technologies	Years 7 and 8	Processes and production skills	Collaborating and managing	AC9TDI8P12	select and use a range of digital tools efficiently and responsibly to share content online, and plan and manage individual and collaborative agile projects	displaying empathy for diverse cultural expectations when participating in teams and in online communities, for example showing sensitivity around images or names of deceased people, and valuing the intellectual property and perspectives of others
Digital technologies	Years 7 and 8	Processes and production skills	Collaborating and managing	AC9TDI8P12	select and use a range of digital tools efficiently and responsibly to share content online, and plan and manage individual and collaborative agile projects	demonstrating agile project management skills and understanding, for example when collaborating with First Nations Australians’ community groups to develop digital solutions to projects: following cultural protocols, including relevant permissions and attributions; acknowledging diversity, capability and strength; and addressing risks and responsibilities such as privacy, security and accuracy of data
Digital technologies	Years 7 and 8	Processes and production skills	Collaborating and managing	AC9TDI8P12	select and use a range of digital tools efficiently and responsibly to share content online, and plan and manage individual and collaborative agile projects	determining and recording the tasks, responsibilities and timeframes for a collaborative project, for example using a spreadsheet to record tasks and their sequence, critical dates and who is responsible for each task so a project can be finished on time
Digital technologies	Years 7 and 8	Processes and production skills	Privacy and security	AC9TDI8P13	explain how multi factor authentication protects an account when the password is compromised and identify phishing and other cyber security threats	explaining how multi factor authentication prevents unauthorised access by prompting the account owner for a token or single-use password, for example demonstrating how a funds transfer from their bank account requires not only logging in, but provision of a one-time password received via SMS
Digital technologies	Years 7 and 8	Processes and production skills	Privacy and security	AC9TDI8P13	explain how multi factor authentication protects an account when the password is compromised and identify phishing and other cyber security threats	identifying the common techniques used in phishing scams to identify and exploit susceptible users, for example using an email address from an unofficial domain when pretending to be an online retailer, or including grammatical errors to help filter out users who are more likely to detect the scam
Digital technologies	Years 7 and 8	Processes and production skills	Privacy and security	AC9TDI8P14	investigate and manage the digital footprint existing systems and student solutions collect and assess if the data is essential to their purpose	investigating the ethical obligations of individuals and organisations regarding ownership and privacy of data and information by researching an online platform’s privacy policy for data collection, use and storage information and discussing impacts on digital footprint
Digital technologies	Years 7 and 8	Processes and production skills	Privacy and security	AC9TDI8P14	investigate and manage the digital footprint existing systems and student solutions collect and assess if the data is essential to their purpose	reviewing and managing their digital footprint across online digital tools that they use, for example selecting their default privacy and sharing settings on social media accounts
Digital technologies	Years 7 and 8	Processes and production skills	Privacy and security	AC9TDI8P14	investigate and manage the digital footprint existing systems and student solutions collect and assess if the data is essential to their purpose	investigating how recommendation algorithms used in media services rely on data that tracks user habits, for example how music streaming services generate playlists for that contain songs from genres and artists that are similar to those you listen to regularly
Digital technologies	Years 7 and 8	Processes and production skills	Privacy and security	AC9TDI8P14	investigate and manage the digital footprint existing systems and student solutions collect and assess if the data is essential to their purpose	assessing the appropriateness and relevance of data collected by surveys from other students and organisations they complete online, for example identifying that providing your address data is not necessary for a survey asking about your food preferences but providing the address for the Census would be appropriate
Digital technologies	Years 5 and 6	Knowledge and understanding	Digital systems	AC9TDI6K01	investigate the main internal components of common digital systems and their function	explaining how digital systems are made up of parts that perform specific functions, for example the processor controls the tablet, performs calculations and manipulates data
Digital technologies	Years 5 and 6	Knowledge and understanding	Digital systems	AC9TDI6K01	investigate the main internal components of common digital systems and their function	exploring how the central processing unit (CPU), memory and input/output components work together to perform a simple calculation
Digital technologies	Years 5 and 6	Knowledge and understanding	Digital systems	AC9TDI6K01	investigate the main internal components of common digital systems and their function	investigating the main components in a video conferencing system and their functions, for example a telehealth system used to access ultrasound and other imagery services by communities in areas classified as remote such as those of some First Nations Australians
Digital technologies	Years 5 and 6	Knowledge and understanding	Digital systems	AC9TDI6K02	examine how digital systems form networks to transmit data	explaining how separate systems can be connected in different ways to exchange data, for example how a laptop can be connected to a network via a cable or radio waves
Digital technologies	Years 5 and 6	Knowledge and understanding	Digital systems	AC9TDI6K02	examine how digital systems form networks to transmit data	describing the way data is structured and transmitted through a network, for example broken up into packets (small pieces) and passed from the source, through multiple devices, to the destination
Digital technologies	Years 5 and 6	Knowledge and understanding	Digital systems	AC9TDI6K02	examine how digital systems form networks to transmit data	investigating the use of satellite phones where mobile phone networks are not available, inaccessible or unreliable, for example many homeland communities of Arnhem Land have limited access to mainstream communication networks
Digital technologies	Years 5 and 6	Knowledge and understanding	Data representation	AC9TDI6K03	explain how digital systems represent all data using numbers	representing data using whole numbers and recognising this is how digital systems represent data, for example converting letters in a message to numbers using their position in the alphabet
Digital technologies	Years 5 and 6	Knowledge and understanding	Data representation	AC9TDI6K03	explain how digital systems represent all data using numbers	explaining how the data type used to represent data changes the operations that can be performed on it, for example adding numbers performs addition whereas adding strings joins them
Digital technologies	Years 5 and 6	Knowledge and understanding	Data representation	AC9TDI6K04	explore how data can be represented by off and on states (zeros and ones in binary)	making collaboratively a long thread with beads representing binary for the letters that spell the Country/Place name in the local First Nations language and English, and could be displayed as a ‘binary banner’ as an Acknowledgement of Country that we are on the Traditional Lands of the <insert name> Peoples
Digital technologies	Years 5 and 6	Knowledge and understanding	Data representation	AC9TDI6K04	explore how data can be represented by off and on states (zeros and ones in binary)	demonstrating that an on/off state in a circuit can represent the digits one and zero, and this is how digital systems represent data
Digital technologies	Years 5 and 6	Knowledge and understanding	Data representation	AC9TDI6K04	explore how data can be represented by off and on states (zeros and ones in binary)	recognising how the answer to a yes/no question can be represented using on/off states, for example switching a light on or off in a circuit or a long or short dash (beep) in Morse code
Digital technologies	Years 5 and 6	Processes and production skills	Investigating and defining	AC9TDI6P01	define problems with given or co-developed design criteria and by creating user stories	using provided stimulus to identify an issue and writing a user story in groups, for example using a newspaper article to develop a user story, such as: a family in a bushfire or flood-prone environment needs a way to ensure they are prepared in case of an emergency
Digital technologies	Years 5 and 6	Processes and production skills	Investigating and defining	AC9TDI6P01	define problems with given or co-developed design criteria and by creating user stories	discussing possible design criteria based on a stimulus, for example the cost, sustainability and timeliness for a roadside bushfire or flood risk rating system
Digital technologies	Years 5 and 6	Processes and production skills	Investigating and defining	AC9TDI6P01	define problems with given or co-developed design criteria and by creating user stories	investigating the impact that feral animals have on native flora and fauna and how this problem has led to economic development opportunities for groups such as the Arnhem Land Progress Aboriginal Corporation
Digital technologies	Years 5 and 6	Processes and production skills	Generating and designing	AC9TDI6P02	design algorithms involving multiple alternatives (branching) and iteration	designing an algorithm or understanding and modifying an existing algorithm to fix an error or change functionality, for example exploring issues in drought-prone areas to decide when to water a garden, taking into account humidity as well as soil moisture level
Digital technologies	Years 5 and 6	Processes and production skills	Generating and designing	AC9TDI6P02	design algorithms involving multiple alternatives (branching) and iteration	creating the steps, decisions and loops in algorithms and knowing what step they are up to, for example repeating the steps to add 2 digits for each column in multi-digit addition, knowing which column they are adding and when to stop
Digital technologies	Years 5 and 6	Processes and production skills	Generating and designing	AC9TDI6P02	design algorithms involving multiple alternatives (branching) and iteration	constructing more than one sequence of steps that solve the same problem and explaining why one is better than the other, for example specifying the exact route through a maze versus using the right-hand rule that works for all mazes
Digital technologies	Years 5 and 6	Processes and production skills	Generating and designing	AC9TDI6P02	design algorithms involving multiple alternatives (branching) and iteration	modelling a decision that has more than 2 options to select the next step, for example selecting transport IF distance is less than 2 km THEN walk, ELSE IF the distance is less than 5 km THEN ride a bike, ELSE catch the bus
Digital technologies	Years 5 and 6	Processes and production skills	Generating and designing	AC9TDI6P02	design algorithms involving multiple alternatives (branching) and iteration	planning algorithms that repeat until a condition is met, for example keep mixing UNTIL the ingredients are combined or subtracting a number UNTIL the result reaches zero
Digital technologies	Years 5 and 6	Processes and production skills	Generating and designing	AC9TDI6P02	design algorithms involving multiple alternatives (branching) and iteration	designing an algorithm including branching and iteration which responds to data, for example how First Nations Australian rangers use structured procedures to respond to live tracking data that indicates feral buffalo are approaching an environmentally or culturally significant site
Digital technologies	Years 5 and 6	Processes and production skills	Generating and designing	AC9TDI6P03	design a user interface for a digital system	designing a user interface on paper or using digital tools, for example drawing the designed layout of the landing page of an app to order lunches from the school canteen
Digital technologies	Years 5 and 6	Processes and production skills	Generating and designing	AC9TDI6P03	design a user interface for a digital system	designing a user interface to address an identified need, for example including customisable font size and colour contrast to help users who are visually impaired
Digital technologies	Years 5 and 6	Processes and production skills	Generating and designing	AC9TDI6P03	design a user interface for a digital system	modelling how user interfaces allow people from different cultures and language backgrounds to access information, for example using consistent symbols to represent common actions such as copy, paste and save
Digital technologies	Years 5 and 6	Processes and production skills	Generating and designing	AC9TDI6P04	generate, modify, communicate and evaluate designs	ideating a range of possible design ideas, discussing them and judging them against the design criteria and user stories, for example using the design criteria to put design ideas in order of preference in a group discussion
Digital technologies	Years 5 and 6	Processes and production skills	Generating and designing	AC9TDI6P04	generate, modify, communicate and evaluate designs	suggesting modifications to the preferred design idea if it does not satisfy all design criteria and user stories, for example modifying a game or game controller so that it can be used by a wider range of players
Digital technologies	Years 5 and 6	Processes and production skills	Producing and implementing	AC9TDI6P05	implement algorithms as visual programs involving control structures, variables and input	writing and editing programs to solve problems using branching, iteration and variables in a visual programming environment, for example writing a program to draw a rotated shape a given number of times using Turtle Graphics
Digital technologies	Years 5 and 6	Processes and production skills	Producing and implementing	AC9TDI6P05	implement algorithms as visual programs involving control structures, variables and input	writing programs that take input from the user or environment and storing that input in a variable for later use, for example asking the user how many shapes to draw in a circle and using that to calculate the number of iterations and angle to rotate each time
Digital technologies	Years 5 and 6	Processes and production skills	Producing and implementing	AC9TDI6P05	implement algorithms as visual programs involving control structures, variables and input	writing programs that make decisions involving multiple alternatives, for example an interactive quiz that checks if the answer is correct, gives feedback and updates the score, or gives a final grade based on the score
Digital technologies	Years 5 and 6	Processes and production skills	Producing and implementing	AC9TDI6P05	implement algorithms as visual programs involving control structures, variables and input	writing programs that repeat multiple steps based on the user’s input, for example repeatedly drawing a shape a given number of times, shifting the position between each iteration
Digital technologies	Years 5 and 6	Processes and production skills	Producing and implementing	AC9TDI6P05	implement algorithms as visual programs involving control structures, variables and input	stating the expected behaviour of a program, running the program to check it is correct and fixing any errors, for example ‘when I press the left arrow key, the cat should move left, finding the cat moves right, and fixing it by changing the 10 to -10 to alter the direction’
Digital technologies	Years 5 and 6	Processes and production skills	Producing and implementing	AC9TDI6P05	implement algorithms as visual programs involving control structures, variables and input	programming digital systems to perform automated tasks, such as closing gates, for example simulating the work of First Nations Australian rangers attempting to lure and capture feral animals
Digital technologies	Years 5 and 6	Processes and production skills	Evaluating	AC9TDI6P06	evaluate existing and student solutions against the design criteria and user stories and their broader community impact	evaluating the effectiveness of their own solutions to address the identified problem from the user stories, for example checking if the information created for the local interactive history walk is relevant and meets the council’s needs
Digital technologies	Years 5 and 6	Processes and production skills	Evaluating	AC9TDI6P06	evaluate existing and student solutions against the design criteria and user stories and their broader community impact	evaluating how an existing solution provides users with safety tools and features such as those described in the Safety by Design Vision for Young People, for example having a clearly visible button to easily report and block inappropriate behaviour in an app or on a website
Digital technologies	Years 5 and 6	Processes and production skills	Evaluating	AC9TDI6P06	evaluate existing and student solutions against the design criteria and user stories and their broader community impact	reflecting on the many systems that are used in the wider community to address a range of problems, for example timetables to manage transport and other services through to details such as storing licence information so that police can enforce road rules
Digital technologies	Years 5 and 6	Processes and production skills	Collaborating and managing	AC9TDI6P07	select and use appropriate digital tools effectively to create, locate and communicate content, applying common conventions	creating achievable steps and timeframes and identifying digital tools needed to produce a solution to a given problem, for example planning what they need to do to create a report on the effectiveness of the school’s recycling initiatives
Digital technologies	Years 5 and 6	Processes and production skills	Collaborating and managing	AC9TDI6P07	select and use appropriate digital tools effectively to create, locate and communicate content, applying common conventions	locating content through search engines and in documents by revising queries and using required search terms, for example reviewing search results and modifying search terms to make the query more accurate
Digital technologies	Years 5 and 6	Processes and production skills	Collaborating and managing	AC9TDI6P07	select and use appropriate digital tools effectively to create, locate and communicate content, applying common conventions	creating appropriate content that reflects planning as well as new external factors, for example uploading a draft of a report on a local government issue to the teacher for feedback as part of an iterative process
Digital technologies	Years 5 and 6	Processes and production skills	Collaborating and managing	AC9TDI6P07	select and use appropriate digital tools effectively to create, locate and communicate content, applying common conventions	creating content for a school celebration, for example designing a collaborative spreadsheet that can be used by a small group to plan and cost their graduation party, together with a folder of tagged resources which support the planning
Digital technologies	Years 5 and 6	Processes and production skills	Collaborating and managing	AC9TDI6P08	select and use appropriate digital tools effectively to share content online, plan tasks and collaborate on projects, demonstrating agreed behaviours	following a previously created plan to report back to the class on a given problem, using digital tools, for example small groups reporting on the best location for a new skate park in the local government area
Digital technologies	Years 5 and 6	Processes and production skills	Collaborating and managing	AC9TDI6P08	select and use appropriate digital tools effectively to share content online, plan tasks and collaborate on projects, demonstrating agreed behaviours	defining and acting collectively using online community standards and valuing the work of others, for example moderating language and behaviour in an online class forum, not deleting the work of collaborators, and respecting others’ intellectual property
Digital technologies	Years 5 and 6	Processes and production skills	Collaborating and managing	AC9TDI6P08	select and use appropriate digital tools effectively to share content online, plan tasks and collaborate on projects, demonstrating agreed behaviours	naming, organising and storing files in a way that allows for easy retrieval of shared content, for example labelling the main folders by topic, such as school garden project, and then creating sub-folders for each section of the project, such as ‘plans’, ‘designs’ and ‘implementation’
Digital technologies	Years 5 and 6	Processes and production skills	Collaborating and managing	AC9TDI6P08	select and use appropriate digital tools effectively to share content online, plan tasks and collaborate on projects, demonstrating agreed behaviours	demonstrating agreed behaviours; following cultural protocols, including relevant permissions and attributions; acknowledging diversity, capability and strength; and addressing risks and responsibilities such as privacy, security, and accuracy of data; for example when sharing images of First Nations Australians’ cultural artefacts
Digital technologies	Years 5 and 6	Processes and production skills	Collaborating and managing	AC9TDI6P08	select and use appropriate digital tools effectively to share content online, plan tasks and collaborate on projects, demonstrating agreed behaviours	using a range of communication tools to share ideas and information with stakeholders, for example presenting content for a school celebration such as a graduation celebration with the parents and citizens association or school executive in an online forum
Digital technologies	Years 5 and 6	Processes and production skills	Privacy and security	AC9TDI6P09	access multiple personal accounts using unique passphrases and explain the risks of password re-use	using multiple accounts, each with different passphrases, to access each website or app used for school and home, for example having a different username and password combination for school, gaming and music accounts
Digital technologies	Years 5 and 6	Processes and production skills	Privacy and security	AC9TDI6P09	access multiple personal accounts using unique passphrases and explain the risks of password re-use	explaining why re-using a password is risky when one of them is found out, for example how a compromised password from one social media account might be able to be used to access their bank or school account if the password is the same and other details are also compromised
Digital technologies	Years 5 and 6	Processes and production skills	Privacy and security	AC9TDI6P10	explain the creation and permanence of their digital footprint and consider privacy when collecting user data	describing scenarios where data, images or both that have been posted online can lead to information being resurfaced at a later date, for example how a comment made on a social media post or video associates a person with both their comment and the content
Digital technologies	Years 5 and 6	Processes and production skills	Privacy and security	AC9TDI6P10	explain the creation and permanence of their digital footprint and consider privacy when collecting user data	explaining why collecting the smallest amount of data needed for a purpose is important to protect someone’s privacy, for example how choosing not to collect information about someone’s birthdate when it is not necessary ensures that private data cannot be stolen in a cyber attack
Digital technologies	Years 3 and 4	Knowledge and understanding	Digital systems	AC9TDI4K01	explore and describe a range of digital systems and their peripherals for a variety of purposes	experimenting with a range of peripherals to perform input, output and storage, for example a keyboard, touch screen, mouse, camera and microphone; a monitor, projector, printer or 3D printer; or speaker; or USB drive
Digital technologies	Years 3 and 4	Knowledge and understanding	Digital systems	AC9TDI4K01	explore and describe a range of digital systems and their peripherals for a variety of purposes	adding peripherals to a digital system to expand its functionality, for example connecting a headset to a digital system to participate in an online lesson more effectively
Digital technologies	Years 3 and 4	Knowledge and understanding	Digital systems	AC9TDI4K01	explore and describe a range of digital systems and their peripherals for a variety of purposes	exploring how they can use digital systems differently depending on the task, recognising that many digital systems can perform multiple tasks, for example a student can use a tablet to take photos, record audio and find information to create a presentation
Digital technologies	Years 3 and 4	Knowledge and understanding	Digital systems	AC9TDI4K02	explore transmitting different types of data between digital systems	exploring examples of different types of data that can be transferred between digital systems, for example streaming music or making a video call to a friend using a smartphone
Digital technologies	Years 3 and 4	Knowledge and understanding	Digital systems	AC9TDI4K02	explore transmitting different types of data between digital systems	exploring how data (video call) can be transmitted from a remote community to a city location, for example looking at how many First Nations Australian communities in areas classified as remote rely on 3G network coverage, limiting the use of video calls
Digital technologies	Years 3 and 4	Knowledge and understanding	Data representation	AC9TDI4K03	recognise different types of data and explore how the same data can be represented differently depending on the purpose	describing different types of data and how they can be used, for example numbers, letters, symbols and pictures
Digital technologies	Years 3 and 4	Knowledge and understanding	Data representation	AC9TDI4K03	recognise different types of data and explore how the same data can be represented differently depending on the purpose	explaining how the same data can be represented in different ways and why some representations are better than others in certain contexts, for example four vs 4 vs IV vs I I I I vs quatre and that numerals are better for calculation than words
Digital technologies	Years 3 and 4	Knowledge and understanding	Data representation	AC9TDI4K03	recognise different types of data and explore how the same data can be represented differently depending on the purpose	explaining that the same information can be represented differently, for example the term ‘stop’ can also be represented with an octagon-shaped red sign or a hand icon
Digital technologies	Years 3 and 4	Knowledge and understanding	Data representation	AC9TDI4K03	recognise different types of data and explore how the same data can be represented differently depending on the purpose	identifying rock paintings and other cultural expressions to understand that images are used to encode and represent ethnobotanical knowledge, for example the representation of plant use in the Kimberley cave paintings and ancient engravings including important data on medicinal and food plant classification and their usable parts
Digital technologies	Years 3 and 4	Processes and production skills	Investigating and defining	AC9TDI4P01	define problems with given design criteria and by co-creating user stories	recognising a range of familiar problems and defining achievable solutions using given design criteria, for example buying presents for family members within a specified budget
Digital technologies	Years 3 and 4	Processes and production skills	Investigating and defining	AC9TDI4P01	define problems with given design criteria and by co-creating user stories	using responses to guiding questions to write a user story, for example a family member wants a way of entertaining their puppy when they are at school to stop it digging holes
Digital technologies	Years 3 and 4	Processes and production skills	Investigating and defining	AC9TDI4P01	define problems with given design criteria and by co-creating user stories	co-creating a user story using a template such as ‘A <type of user> has <some goal> so that <some reason>’, for example ‘a sports team wants to access league rankings online so that they can see their progress’
Digital technologies	Years 3 and 4	Processes and production skills	Investigating and defining	AC9TDI4P01	define problems with given design criteria and by co-creating user stories	developing a problem statement for collecting and managing information, for example how First Nations Australians rangers could monitor animal populations, such as local marine turtles, using global positioning systems (GPS)
Digital technologies	Years 3 and 4	Processes and production skills	Investigating and defining	AC9TDI4P01	define problems with given design criteria and by co-creating user stories	co-creating user stories about exploring hard-to-reach locations, for example a school student wants to explore neighbouring countries classified as remote to compare how people live
Digital technologies	Years 3 and 4	Processes and production skills	Generating and designing	AC9TDI4P02	follow and describe algorithms involving sequencing, comparison operators (branching) and iteration	following the steps and decisions of algorithms and knowing what step they are up to, for example following rules to form the past tense of regular verbs such as ‘create’ to ‘created’, ‘try’ to ‘tried’ and ‘cook’ to ‘cooked’ and checking off items on a list as they are completed
Digital technologies	Years 3 and 4	Processes and production skills	Generating and designing	AC9TDI4P02	follow and describe algorithms involving sequencing, comparison operators (branching) and iteration	describing algorithms using representations such as a list of steps or a diagram, for example drawing a diagram of a recipe involving decisions
Digital technologies	Years 3 and 4	Processes and production skills	Generating and designing	AC9TDI4P02	follow and describe algorithms involving sequencing, comparison operators (branching) and iteration	understanding there can be more than one sequence of steps to solve a problem, some are better than others, and the steps should be unambiguous, for example describing 2 different ways to get to the same location
Digital technologies	Years 3 and 4	Processes and production skills	Generating and designing	AC9TDI4P02	follow and describe algorithms involving sequencing, comparison operators (branching) and iteration	describing the decisions needed to solve a problem, including numerical and text comparisons, for example if the UV index is above 3, put on sunscreen and a hat
Digital technologies	Years 3 and 4	Processes and production skills	Generating and designing	AC9TDI4P02	follow and describe algorithms involving sequencing, comparison operators (branching) and iteration	describing algorithms that repeat steps a fixed number of times, for example calculating multiplication using repeated addition, where the sum changes in each iteration
Digital technologies	Years 3 and 4	Processes and production skills	Generating and designing	AC9TDI4P03	generate, communicate and compare designs	brainstorming possible design ideas and discussing these with their peers, for example sketching different ideas for a computer game
Digital technologies	Years 3 and 4	Processes and production skills	Generating and designing	AC9TDI4P03	generate, communicate and compare designs	discussing whether the needs identified from the user story are met by generated design ideas, for example comparing design ideas in pairs for encouraging people to recycle
Digital technologies	Years 3 and 4	Processes and production skills	Generating and designing	AC9TDI4P03	generate, communicate and compare designs	ideating multiple design ideas and comparing them against user stories, for example as a class, discussing the needs identified from the user story and brainstorming multiple design ideas (accepting all suggestions as possibilities)
Digital technologies	Years 3 and 4	Processes and production skills	Producing and implementing	AC9TDI4P04	implement simple algorithms as visual programs involving control structures and input	writing and editing programs to solve simple problems using branching and simple iteration in a visual programming environment, for example helping a user understand multiplication by displaying the repeated addition in order
Digital technologies	Years 3 and 4	Processes and production skills	Producing and implementing	AC9TDI4P04	implement simple algorithms as visual programs involving control structures and input	writing programs that take input from the user or environment, for example asking the user for their name and displaying it or sensing the temperature from the environment to make a decision
Digital technologies	Years 3 and 4	Processes and production skills	Producing and implementing	AC9TDI4P04	implement simple algorithms as visual programs involving control structures and input	writing programs that make decisions involving comparison, for example comparing whether the temperature is above 25 degrees Celsius to label the weather hot or cold
Digital technologies	Years 3 and 4	Processes and production skills	Producing and implementing	AC9TDI4P04	implement simple algorithms as visual programs involving control structures and input	writing programs that repeat one or more steps a fixed number of times, for example writing a program that displays repetitive song lyrics, such as in ‘Ten in the bed’
Digital technologies	Years 3 and 4	Processes and production skills	Producing and implementing	AC9TDI4P04	implement simple algorithms as visual programs involving control structures and input	running and testing a program to check it performs as expected, for example a character: 1. moves forward 2. turns left 3. moves forward
Digital technologies	Years 3 and 4	Processes and production skills	Producing and implementing	AC9TDI4P04	implement simple algorithms as visual programs involving control structures and input	implementing a program that demonstrates the strict routines and techniques followed by First Nations Australian ranger groups when caring for or handling specific native animals, for example using IF and THEN statements to create a training manual, such as: IF <insert animal name> is injured THEN the ranger will <insert action>
Digital technologies	Years 3 and 4	Processes and production skills	Evaluating	AC9TDI4P05	discuss how existing and student solutions satisfy the design criteria and user stories	describing the way familiar digital systems allow the user to perform tasks, for example discussing how a family member could place an order online for something they cannot buy locally
Digital technologies	Years 3 and 4	Processes and production skills	Evaluating	AC9TDI4P05	discuss how existing and student solutions satisfy the design criteria and user stories	discussing how a digital solution meets the different needs of users, for example how maps help people to locate places in the community or interactive store directories help shoppers to find a particular store in a shopping centre
Digital technologies	Years 3 and 4	Processes and production skills	Evaluating	AC9TDI4P05	discuss how existing and student solutions satisfy the design criteria and user stories	making judgements on their digital solutions against the design criteria and user stories, for example how high their friends score in the game they created to help them learn what is recyclable
Digital technologies	Years 3 and 4	Processes and production skills	Evaluating	AC9TDI4P05	discuss how existing and student solutions satisfy the design criteria and user stories	reflecting on how the systems in the school help it run, for example how the librarian keeps track of books borrowed
Digital technologies	Years 3 and 4	Processes and production skills	Collaborating and managing	AC9TDI4P06	use the core features of common digital tools to create, locate and communicate content, following agreed conventions	discussing and creating as a class a set of steps they need to follow to safely find information online
Digital technologies	Years 3 and 4	Processes and production skills	Collaborating and managing	AC9TDI4P06	use the core features of common digital tools to create, locate and communicate content, following agreed conventions	using an online search engine to find suitable sources to create and communicate information, following agreed steps, for example creating a presentation on life cycles
Digital technologies	Years 3 and 4	Processes and production skills	Collaborating and managing	AC9TDI4P06	use the core features of common digital tools to create, locate and communicate content, following agreed conventions	grouping, naming and itemising objects using a logical hierarchy, for example creating a section of a virtual library or virtual supermarket using folders and files
Digital technologies	Years 3 and 4	Processes and production skills	Collaborating and managing	AC9TDI4P07	use the core features of common digital tools to share content, plan tasks, and collaborate, following agreed behaviours, supported by trusted adults	using an agreed folder to make it easy for students to collaborate on shared content in a group project
Digital technologies	Years 3 and 4	Processes and production skills	Collaborating and managing	AC9TDI4P07	use the core features of common digital tools to share content, plan tasks, and collaborate, following agreed behaviours, supported by trusted adults	demonstrating safe sharing of content with a select audience, for example sharing a holiday adventure without revealing exact dates, specific names or other personal information
Digital technologies	Years 3 and 4	Processes and production skills	Collaborating and managing	AC9TDI4P07	use the core features of common digital tools to share content, plan tasks, and collaborate, following agreed behaviours, supported by trusted adults	listening to others when participating in online environments to share content, for example respecting the rights of others by taking turns to suggest and add words or images to a factual slide deck to share with the teacher
Digital technologies	Years 3 and 4	Processes and production skills	Collaborating and managing	AC9TDI4P07	use the core features of common digital tools to share content, plan tasks, and collaborate, following agreed behaviours, supported by trusted adults	interacting cooperatively in a group in an online environment to plan and complete a task, for example writing and responding to others’ views on canteen products
Digital technologies	Years 3 and 4	Processes and production skills	Collaborating and managing	AC9TDI4P07	use the core features of common digital tools to share content, plan tasks, and collaborate, following agreed behaviours, supported by trusted adults	using digital tools to plan an event as a class, for example jointly creating a class survey to help plan an end-of-year party, where responses conform to the class’s accepted behavioural expectations
Digital technologies	Years 3 and 4	Processes and production skills	Privacy and security	AC9TDI4P08	access their school account using a memorised password and explain why it should be easy to remember, but hard for others to guess	recalling their school username and password from memory to login to a school laptop or desktop
Digital technologies	Years 3 and 4	Processes and production skills	Privacy and security	AC9TDI4P08	access their school account using a memorised password and explain why it should be easy to remember, but hard for others to guess	explaining how keeping a password secret prevents others from accessing their data, for example how their work is saved in their account and can only be accessed using their secret password
